University,ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
Brown University,2020,2020,291210,Physicians,TRUE,TRUE,2713,209540.739,78259.952,1278.779546,157,Cultural & Gender Studies,5
Brown University,2020,2020,291240,Surgeons,TRUE,TRUE,139,211234.9137,316488.7268,289.4555993,9,Cultural & Gender Studies,5
Brown University,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,187,301388.7219,466889.0434,335.7339716,16,Cultural & Gender Studies,5
Brown University,2019,2019,193033,Clinical and counseling psychologists,TRUE,TRUE,133,54765.60902,77796.69961,283.1394495,6,Cultural & Gender Studies,5
Brown University,2019,2019,291210,Physicians,TRUE,TRUE,2666,218969.7528,76755.74986,1267.654509,154,Cultural & Gender Studies,5
Brown University,2019,2019,291240,Surgeons,TRUE,TRUE,105,179788.8857,269663.5937,251.5760266,7,Cultural & Gender Studies,5
Brown University,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,308,254139.2403,323732.1701,430.8733798,20,Cultural & Gender Studies,5
Brown University,2018,2018,193033,Clinical and counseling psychologists,TRUE,TRUE,137,53764.62774,75181.58195,287.3656392,6,Cultural & Gender Studies,5
Brown University,2018,2018,291210,Physicians,TRUE,TRUE,2608,213204.1925,75319.52752,1253.789579,151,Cultural & Gender Studies,5
Brown University,2018,2018,291240,Surgeons,TRUE,TRUE,101,157719.7822,300286.0474,246.7375765,6,Cultural & Gender Studies,5
Brown University,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,323,173029.4985,258385.5661,441.2406719,19,Cultural & Gender Studies,5
Brown University,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,312,177325.1186,259624.1668,433.6622141,18,Cultural & Gender Studies,5
Brown University,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,274,158728.4453,250475.6728,406.3961804,15,Cultural & Gender Studies,5
Brown University,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,466,142105.6373,155870.3409,529.9891597,19,Cultural & Gender Studies,5
Brown University,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,449,148435.7884,172344.2935,520.232181,19,Cultural & Gender Studies,5
Brown University,2020,2020,172061,Computer hardware engineers,TRUE,TRUE,977,153480.7124,80426.33196,767.397905,56,Math & Statistics,27
Brown University,2020,2020,193033,Clinical and counseling psychologists,TRUE,TRUE,70,137507.3857,202514.1402,205.4109902,5,Math & Statistics,27
Brown University,2020,2020,291210,Physicians,TRUE,TRUE,8558,255107.9207,46431.3698,2271.163303,473,Math & Statistics,27
Brown University,2020,2020,291240,Surgeons,TRUE,TRUE,395,264488.4127,263330.079,487.9470849,24,Math & Statistics,27
