ID Major,Major,ID Year,Year,ID University,University,ID Gender,Gender,Completions,Slug University,Slug CIP6
521399,Other Management Sciences & Quantitative Methods,2020,2020,190150,Columbia University in the City of New York,1,Men,836,columbia-university-in-the-city-of-new-york,other-management-sciences-quantitative-methods
520201,General Business Administration & Management,2013,2013,190150,Columbia University in the City of New York,1,Men,830,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2017,2017,190150,Columbia University in the City of New York,1,Men,808,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2015,2015,190150,Columbia University in the City of New York,1,Men,802,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2014,2014,190150,Columbia University in the City of New York,1,Men,800,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2016,2016,190150,Columbia University in the City of New York,1,Men,796,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2012,2012,190150,Columbia University in the City of New York,1,Men,791,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2018,2018,190150,Columbia University in the City of New York,1,Men,780,columbia-university-in-the-city-of-new-york,general-business-administration-management
520201,General Business Administration & Management,2019,2019,190150,Columbia University in the City of New York,1,Men,730,columbia-university-in-the-city-of-new-york,general-business-administration-management
110701,Computer Science,2020,2020,190150,Columbia University in the City of New York,1,Men,572,columbia-university-in-the-city-of-new-york,computer-science-110701
110701,Computer Science,2019,2019,190150,Columbia University in the City of New York,1,Men,469,columbia-university-in-the-city-of-new-york,computer-science-110701
110701,Computer Science,2018,2018,190150,Columbia University in the City of New York,1,Men,463,columbia-university-in-the-city-of-new-york,computer-science-110701
110701,Computer Science,2017,2017,190150,Columbia University in the City of New York,1,Men,378,columbia-university-in-the-city-of-new-york,computer-science-110701
110701,Computer Science,2015,2015,190150,Columbia University in the City of New York,1,Men,301,columbia-university-in-the-city-of-new-york,computer-science-110701
110701,Computer Science,2016,2016,190150,Columbia University in the City of New York,1,Men,299,columbia-university-in-the-city-of-new-york,computer-science-110701
450603,Econometrics & Quantitative Economics,2020,2020,190150,Columbia University in the City of New York,1,Men,296,columbia-university-in-the-city-of-new-york,econometrics-quantitative-economics
450603,Econometrics & Quantitative Economics,2018,2018,190150,Columbia University in the City of New York,1,Men,267,columbia-university-in-the-city-of-new-york,econometrics-quantitative-economics
143701,Operations Research,2012,2012,190150,Columbia University in the City of New York,1,Men,265,columbia-university-in-the-city-of-new-york,operations-research-143701
450603,Econometrics & Quantitative Economics,2019,2019,190150,Columbia University in the City of New York,1,Men,265,columbia-university-in-the-city-of-new-york,econometrics-quantitative-economics
450601,General Economics,2015,2015,190150,Columbia University in the City of New York,1,Men,261,columbia-university-in-the-city-of-new-york,general-economics
143701,Operations Research,2019,2019,190150,Columbia University in the City of New York,1,Men,253,columbia-university-in-the-city-of-new-york,operations-research-143701
143701,Operations Research,2015,2015,190150,Columbia University in the City of New York,1,Men,247,columbia-university-in-the-city-of-new-york,operations-research-143701
220101,Law,2014,2014,190150,Columbia University in the City of New York,1,Men,246,columbia-university-in-the-city-of-new-york,law-220101
143701,Operations Research,2013,2013,190150,Columbia University in the City of New York,1,Men,244,columbia-university-in-the-city-of-new-york,operations-research-143701
110701,Computer Science,2012,2012,190150,Columbia University in the City of New York,1,Men,243,columbia-university-in-the-city-of-new-york,computer-science-110701
143701,Operations Research,2016,2016,190150,Columbia University in the City of New York,1,Men,242,columbia-university-in-the-city-of-new-york,operations-research-143701
143701,Operations Research,2018,2018,190150,Columbia University in the City of New York,1,Men,241,columbia-university-in-the-city-of-new-york,operations-research-143701
220101,Law,2013,2013,190150,Columbia University in the City of New York,1,Men,241,columbia-university-in-the-city-of-new-york,law-220101
270501,General Statistics,2019,2019,190150,Columbia University in the City of New York,1,Men,241,columbia-university-in-the-city-of-new-york,general-statistics
143701,Operations Research,2017,2017,190150,Columbia University in the City of New York,1,Men,240,columbia-university-in-the-city-of-new-york,operations-research-143701
450601,General Economics,2016,2016,190150,Columbia University in the City of New York,1,Men,240,columbia-university-in-the-city-of-new-york,general-economics
220101,Law,2012,2012,190150,Columbia University in the City of New York,1,Men,238,columbia-university-in-the-city-of-new-york,law-220101
270501,General Statistics,2020,2020,190150,Columbia University in the City of New York,1,Men,238,columbia-university-in-the-city-of-new-york,general-statistics
143701,Operations Research,2014,2014,190150,Columbia University in the City of New York,1,Men,231,columbia-university-in-the-city-of-new-york,operations-research-143701
220101,Law,2017,2017,190150,Columbia University in the City of New York,1,Men,226,columbia-university-in-the-city-of-new-york,law-220101
220101,Law,2018,2018,190150,Columbia University in the City of New York,1,Men,226,columbia-university-in-the-city-of-new-york,law-220101
220101,Law,2015,2015,190150,Columbia University in the City of New York,1,Men,224,columbia-university-in-the-city-of-new-york,law-220101
220101,Law,2019,2019,190150,Columbia University in the City of New York,1,Men,223,columbia-university-in-the-city-of-new-york,law-220101
