ID Major,Major,ID Year,Year,ID University,University,ID Gender,Gender,Completions,Slug University,Slug CIP6,,,,,,,,,,
110701,Computer Science,2020,2020,217156,Brown University,2,Women,131,brown-university,computer-science-110701,,,,,,,,,,
110701,Computer Science,2019,2019,217156,Brown University,2,Women,110,brown-university,computer-science-110701,,,,,,,,,,
512201,General Public Health,2017,2017,217156,Brown University,2,Women,94,brown-university,general-public-health,,,,,,,,,,
512201,General Public Health,2019,2019,217156,Brown University,2,Women,94,brown-university,general-public-health,,,,,,,,,,
450601,General Economics,2012,2012,217156,Brown University,2,Women,88,brown-university,general-economics,,,,,,,,,,
450901,International Relations & Affairs,2012,2012,217156,Brown University,2,Women,84,brown-university,international-relations-affairs,,,,,,,,,,
450603,Econometrics & Quantitative Economics,2020,2020,217156,Brown University,2,Women,83,brown-university,econometrics-quantitative-economics,,,,,,,,,,
450601,General Economics,2016,2016,217156,Brown University,2,Women,82,brown-university,general-economics,,,,,,,,,,
450601,General Economics,2013,2013,217156,Brown University,2,Women,81,brown-university,general-economics,,,,,,,,,,
512201,General Public Health,2018,2018,217156,Brown University,2,Women,81,brown-university,general-public-health,,,,,,,,,,
110701,Computer Science,2018,2018,217156,Brown University,2,Women,80,brown-university,computer-science-110701,,,,,,,,,,
512201,General Public Health,2016,2016,217156,Brown University,2,Women,80,brown-university,general-public-health,,,,,,,,,,
260101,General Biological Sciences,2016,2016,217156,Brown University,2,Women,79,brown-university,general-biological-sciences,,,,,,,,,,
260101,General Biological Sciences,2015,2015,217156,Brown University,2,Women,78,brown-university,general-biological-sciences,,,,,,,,,,
440501,General Public Policy Analysis,2020,2020,217156,Brown University,2,Women,77,brown-university,general-public-policy-analysis,,,,,,,,,,
511201,Medicine,2020,2020,217156,Brown University,2,Women,73,brown-university,medicine-511201,,,,,,,,,,
450601,General Economics,2015,2015,217156,Brown University,2,Women,72,brown-university,general-economics,,,,,,,,,,
450603,Econometrics & Quantitative Economics,2018,2018,217156,Brown University,2,Women,72,brown-university,econometrics-quantitative-economics,,,,,,,,,,
260101,General Biological Sciences,2014,2014,217156,Brown University,2,Women,71,brown-university,general-biological-sciences,,,,,,,,,,
270301,General Applied Mathematics,2020,2020,217156,Brown University,2,Women,71,brown-university,general-applied-mathematics,,,,,,,,,,
140101,General Engineering,2017,2017,217156,Brown University,2,Women,69,brown-university,general-engineering-140101,,,,,,,,,,
302701,Human Biology,2012,2012,217156,Brown University,2,Women,69,brown-university,human-biology-302701,,,,,,,,,,
511201,Medicine,2017,2017,217156,Brown University,2,Women,69,brown-university,medicine-511201,,,,,,,,,,
512201,General Public Health,2020,2020,217156,Brown University,2,Women,69,brown-university,general-public-health,,,,,,,,,,
450603,Econometrics & Quantitative Economics,2019,2019,217156,Brown University,2,Women,68,brown-university,econometrics-quantitative-economics,,,,,,,,,,
